,tweet,predict_sentiment
29,cagub cawagub jakarta mas pram bang doel bincang santai masyarakat acara pram rano tour tebet ecopark tebet jaksel jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
30,cak lontong gemar sejati batu nusantara dukung penuh cagub cawagub mas pram bang doel jakarta jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
31,mas pram sapa jakarta  mas pram belanja tamansari jakarta barat jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
32,jakarta nyala kota gu jakarta rk jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
33,cagubcawagub mas pram bang doel temu ribu rawan jakartamenyala velodrome rawamangun jaktim jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
34,jejak ambisi ridwan kamil tinggal tiap jabat jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,negative
35,kemarin sabtu  mas pram  bang doel temu warga komplek sunter program serap aspirasi warga jakartamenyala gak pake ribet http,positive
36,program wfa pramono anung  rano kato tingkat kualitas hidup masyarakat kurang stres jalan kantor jakartamenyala http,neutral
37,jakarta progresif yg adil lahir dr proses dengar user user warga jakarta belanja jakartamenyala nurul polisi jawa mampir bahrain ahmad al kaf song weilong http,neutral
38,inshaallah mas pram bang doel amanah pimpin jakarta beliau dua beres banjir cipinang melayu bismillah moga wujud  jakartamenyala prakaruntukjakarta http,positive
39,diskusi anak muda mas pramono anak muda sempat inspirasi mas pramono  bang rano jakartamenyala prakaruntukjakarta  nurul fifa bahrain adel kevin diks malming jeno first pitch http,neutral
40,panel survei indonesia  pilih pramono  rano unggul     pulgub jakarta  moga menang putar aamiin jakartamenyala http,positive
41,inovasi anak muda beda kumpul kritik saran pojok aspirasi labubu diskusi user tebet eco park bahas ketidaknyamanan perempuan transportasi publik bismillah jakartamenyala http,neutral
42,kait jakarta international stadium jis destinasi ikon jakarta bang doel tekan bangun jis investasi dukung fasilitas transportasi pada jakartamenyala prakaruntukjakarta http,positive
43,salah manfaat ngikutin acara luas jaring medsos serta ada latih cyber gratis cyber squad indonesia csi jakartamenyala jadiin,positive
44,pramono anung inovasi anak muda beda kumpul kritik saran pojok aspirasi labubu tebet eco park diskus jakartamenyala prakaruntukjakarta http,neutral
45,inovasi anak muda jakarta beda kumpul kritik saran pojok aspirasi mas pram labubu jakartamenyala prakaruntukjakarta http,neutral
46,jakartamenyala diaspora ntt jakarta satu hati bulat tekad dukung pramonorano http user user diasporantt dukungpramonorano betaindonesia jakartamenyala,negative
47,suka senam suka hidup sehat yg suka seru bareng bestie dateng yukk acara senam massal mas pram bang doel minggu  oktober  jgn sampe telat dateng ya jakartamenyala prakaruntukjakarta http,positive
48,dateng yukk gaes acara senam massal mas pram bang doel minggu  oktober  sehat jgn lupa dateng jakartamenyala prakaruntukjakarta http,neutral
49,cagub gak ken cari ribet ogah cari musuh ente kaga dukung nyang bener ajee nyook bareng bikin jakartamenyala biar kagaribetdah http,positive
50,pramono anung inisiatif cerdas rencana naturalisasi lahan atas banjir cipinang melayu jakartamenyala http,positive
51,mas pram bincang santai dg masyarakat generasi muda acara pram rano tour tebet ecopark tebet jakarta selatan harap mas pram kait butuh resah jakartamenyala http,neutral
52,netijen  sakti dunia bener banget mas user orang skrg takut dg viral  salah  alas cctv pasang mrt lrt klo yg tindak ga bener tinggal viralkan ntabz mas pram bang doel jadi jakartamenyala http,negative
53,nyok empok encang encing warga cipete selatan senam masal minggu  oktober   wib ayo dukung mas pram bang doel gubernur wakil gubernur dkj  jakarta maju jakartamenyala prakaruntukjakarta http,positive
54,user budaya buka jakartamenyala,neutral
55,mas pram pasang cctv jakartamenyala pilkadajakarta pilkadajakarta pilkada pramonoanung ranokarno http,neutral
56,pramono jadi mui jakarta mitra strategis perintah depan amanah pimpin jakarta prakaruntukjakarta jakartamenyala http,positive
57,mas pram bang doel jakarta golong lintas agama pihak kalang mayoritas pilih yg pas jakartamenyala prakaruntukjakarta http,positive
58,batu user milih batu nusantara pilih nomor  jakartamenyala nyata user amp bang doel http,neutral
59,helloo warga cipsel ikut yuk senam massal besok pagi minggu    jl h abas jl h abdul kadir jl h abu  jam  pagi selesai ya jakartamenyala prakaruntukjakarta  benny laos here we go bakar http,neutral
60,warga cipsel amp lupa besok minggu  oktober jam  pagi  ikut senam masal mas pram bang doel yee  he he he jakartamenyala prakaruntukjakarta  nctatinkigayo tokopedia happy hour kevin diks here we go http,neutral
61,calon gubernur daerah khusus jakarta pramono anung pimpin adil agama pramono anung  rano karno nyala jakartamenyala prakaruntukjakarta http,neutral
62,rawan jakarta nyala nyala mas pram bang doel acara town hall meeting rawan jakartamenyala jakarta international velodrome rawamangun  oktober  prakaruntukjakarta http,neutral
63,nyok warga cipsel ikut senam massal jl h abas jl h abdul kadir jl h abu tanggal  oktober nih jam  pagi selesai bikin jakartamenyala sehat prakaruntukjakarta http,neutral
64,senam masal gaes cagub jakarta mas pramono besok minggu ya pagipagi jam  seru mas pramono  bang rano jakartamenyala prakaruntukjakarta  mark lee nurul mizuki jeno first pitch malming http,neutral
65,yuks senam masal bareng pramdoel besok  oktober nih jam  pagi ya jakartamenyala prakaruntukjakarta http,neutral
66,ancol menyalaa mas pram bang doel silaturahmi warga rw  ancol barat gor ancol barat jakarta utara sempat jg simulasi coblos no  pilkada jakartamenyala prakaruntukjakarta kevin diks nurul bola pt timah brimofstvl http,neutral
67,naik insentif jumantik dasawisma tingkat sejahtera lapang jakartamenyala http,neutral
68,tempat tebet ecopark jakarta selatan calon gubernur pramono anung bincang santai antusiasme yg hadir generasi muda jakarta ayoo jakartamenyala prakaruntukjakarta kevin diks nurul bola pt timah brimofstvl http,neutral
69,nyok warga cipsel ikut senam massal yg tinggal jl h abas jl h abdul kadir jl h abu lupa besok  oktober nih jam  pagi yee bikin jakartamenyala sehat http,neutral
70,merindiing liat antusiasme masyarakat rawan dn dukung mas pram bang doel yg padat velodrome rawamangun ayoo jakarta nyala jakartamenyala prakaruntukjakarta kevin diks nurul bola pt timah brimofstvl http,positive
71,guweh salut mas user bang doel gerak rawat semangat juang masyarakat jakarta kenal lelah top banget pramdoelmenang jakartamenyala user user user user http,positive
72,hidup sehat pram doel ayoo rapat senam massal besok minggu  oktober  jam  pagi catet info nye ye sampe ktmu bsk ayo jakatta nyala bareng pram doel jakartamenyala prakaruntukjakarta kevin diks nurul bola pt timah brimofstvl http,neutral
73,mantap masyarakat mudah urus kjp jakartamenyala pramono buka daftar kjp camat jakarta http,neutral
74,jaga sehat raga olah raga ikut yuks senam masal bareng pramdoel jakartamenyala prakaruntukjakarta  nctatinkigayo tokopedia happy hour kevin diks here we go http,positive
75, mah ogaaahh  jual pisang aja bangkrut ngendorsealamat kejedhot pala berbie rkamil pilih prakaruntukjakarta jakartamenyala pramdoelmenang http,positive
76,buseeddd proyek mangkrak nih kang emil gimana bikin jakarta emang gak percaya dana ratus milliar dikemanain jakartamenyala prakaruntukjakarta nurul ahmed al kaf fifa wasit oh my bakar bahrain jeonghan seokjin mizuki http,negative
77,mas pram sore ngobrol santai bareng masyarakat dlm acara pram rano tour tebet ecopark tebet jakarta selatan acara mayoritas hadir generasi muda sempat curhat harap ttg jkt masa jakartamenyala http,neutral
78,user yuupss prakaruntukjakarta jakartamenyala ,negative
79,salamjari gemar cincin batu kyk cak lontong lupa  november pilih mas pram bang doel jakartamenyala http,neutral
80,town hall meeting mas pram bang doel rawan jakarta nyala rawamangun menang paslon nomor  jakartamenyala sukses maju http,positive
81,inovasi anak muda beda kumpul kritik saran pojok aspirasi labubu tebet eco park diskus jakartamenyala http,neutral
82,haalloo gaaeesss yg ngerasa genz amp millenial jan tinggal acara deh ntar nyesel seru event mas pram bang doel catat hadir ikut yg muda karya mas pram bang doel  prakaruntukjakarta jakartamenyala http,positive
83,bravo pimpin adil bawa dampak positif masyarakat jakartamenyala warga lindung kelompok minoritas pramono http,positive
84,mas pram bang doel temu ribu rawan jakarta nyala velodrome rawamangun jaktim petjah bgt no   jakartamenyala http http,neutral
85,yg rame dingin gerahhedeeww ni mah kayak bikin cilok serasa bola bekeldigigit mendhal ditelen gagal jual citayem coba ps barundak laah yaauu biar prakar aja ngurusin jakarta nda mil jakartamenyala prakaruntukjakarta http,negative
86,mas pram bang doel siang silaturahmi dgn warga rw  ancol barat sunter papanggo jakarta utara temu pasang mas pram bang doel serap aspirasi masyarakat kait isu lingkung warga jakartamenyala http,positive
87,pesan cak lontong cinta batu nusantara jakarta tgl  november pilih no prakaruntukjakarta jakartamenyala http,neutral
88,paslon nomor  mas user bang user kaga ribet dah jakartamenyala padoelutkjakarta,negative
89,cagub pramono anung amp cawagub rano karno serap aspirasi warga rw  ancol barat gedung olahraga ancol barat jakarta utara sabtu  temu pasang mas pram amp bang doel bahas isu lingkung jakartamenyala kagak http,neutral
90,temu penuh akrab mas pram amp bang doel warga ancol barat ayo pilih pimpin serap aspirasi warga jakartamenyala pramonorano pramdoelmenang http,positive
91,mas pram bang doel temu warga ancol barat dengar keluh kesah langsung yuk dukung pimpin rakyat jakartamenyala pramonorano pramdoelmenang http,positive
92,mas pram bang doel dengar langsung suara warga ancol barat mari wujud jakarta pilih pasang nomor  jakartamenyala pramonorano pramdoelmenang http,positive
93,gass full bang biem mas user bang user bikin menang  putar semangat kaka jakartamenyala padoelutkjakarta,positive
94,mas pram bang doel serap langsung aspirasi warga rw  ancol barat ayo dukung pimpin peduli jakarta jakartamenyala pramonorano pramdoelmenang http,positive
95,mas pram bang doel silaturahmi warga ancol barat aspirasi masyarakat kait lingkung fokus utama dukung pasang dengar jakartamenyala pramonorano pramdoelmenang http,positive
96,janji pramono anung gaji guru paud tara umr perhati didik anak usia jakartamenyala http,positive
97,user nomor  yg beliau bang doel dar angka tp simbol satu krn satu pram amp bang doel akn upaya utk sllu bekerjasama dgn krn dgn bekerjasama dlm satu jakartamenyala akn nyata http,neutral
98,calon apa program pilih nomor  program gak ribet pro rakyat salam jakartamenyala prakaruntukjakarta  tulus panas ahmed al kaf queenoftears nurul http,positive
99,nyala ikut pram rano tour tebet ecopark tebet jakarta selatan sore acara anakanak muda sempat harap mas pram kait butuh resah jakartamenyala http,neutral
100,jakarta fbr suara pram amp doel  deklarasi minggu  oktober  wib pramdoelmenang jakartamenyala pramonorano fbr http,neutral
101,rempug bareng fbr solid dukung mas pram bang doel minggu  oktober  jam  wib pramdoelmenang jakartamenyala pramonorano fbr http,neutral
102,ahad fbr all out pramono amp rano karno minggu  oktober   wib pramdoelmenang jakartamenyala pramonorano fbr http,neutral
103,fbr sejakarta menang pasang nomor  hadir deklarasi minggu  oktober  jam  wib pramdoelmenang jakartamenyala pramonorano fbr http,neutral
104,salam lemper salam jari cc user jakartamenyala prakaruntukjakarta http,neutral
105,mantapp deklarasi dukung penuh fbr mas pram amp bang doel ayo rempug minggu  oktober   wib pramdoelmenang jakartamenyala pramonorano fbr http,positive
106,mas pram amp bang doel aapa dukung velodrome jakartamenyala calon gubernur jakarta no urut  pramono anung percaya menang putar pilgub jakarta  iya hadap dukung kumpul indoor velodrome rawamangun http,positive
107,diri hadap dukung mas pram bang doel nyala terima kasih dukung kerja keras menang inshaallah amanah jamin salah pilih jakartamenyala  http,positive
108,gemar akik jakarta pilih pramdoel akik ngakik ngakak ngakik jakartamenyala http,positive
109,sapa dukung velodrome pramono anung menang putar pilgub jakarta pimpin optimis jakartamenyala prakaruntukjakarta http http,positive
110,cagub pramono anung amp cawagub rano karno silaturahmi warga rw  ancol barat gedung olahraga ancol barat jakarta utara sabtu  belanja jakartamenyala  polbek panas ahmed al kaf obro markoto ubed http,neutral
111,naah klo mas prambang doel cr solusi atas macet jakarta transportasi publik upgrade abisabisan biar gak da macet point atas macet atas drop mood masangin ac halte bosss jakartamenyala prakaruntukjakarta ahmed al kaf fifa wasit http,neutral
112,user mari pasti jakartamenyala ,neutral
113,here we go rawan jakartamenyala panas nyala   town hall meeting rawan jakarta nyala jakarta international velodrome rawamangun  oktober  prakaruntukjakarta http,neutral
114,kalo meeenaaanggg rk bikin tim detektif cm nyari anak putus sekolah hrs detektif gitu jabar ajah disabilitas perhatiin yg  anak jakarta yg putus sekolah dah jakartamenyala prakaruntukjakarta fifa wasit nurul http,neutral
115,luarr pasang cagubcawagub pramono rano terima dg antusias mana kampanye riang gembira masyarakat bahagia jakartamenyala prakaruntukjakarta  ahmed al kaf fifa bahrain http,positive
116,mas pram bang doel janji bangun jakarta sesuai program janji kampanye blusukan jakarta jakartamenyala prakaruntukjakarta http,positive
117,wkwkwk rk masyarakat jabar ajah janji tinggal janji koalisi yg angkat nama pilgub jabar tinggalin kang emil bawa jakarta jabar aja gkda yg bener jakartamenyala prakaruntukjakarta nurul ahmed al kaf fifa wasit http,positive
118,solusi pramono doel atas macet jakarta salah program jakarta gerak cek video gaes jakartamenyala prakaruntukjakarta http,neutral
119,pimpin semenjak muda semenjak kuliah itb bandung jakartamenyala prakaruntukjakarta pramonoanung itb anakitbpastipilihpram aktivismahasiswa masprambangdoel jakartamenyala http,positive
120,user jakartamenyala pilih no  ,negative
121,mas prambang doel blusukan ganggang belanja yg masyarakat dki gak capek emang bener sih usia angka mas prambang doel temu ribu rawan velodrome rawamangun jakarta timur jakartamenyala http,positive
122,mas pram bang doel temu ribu rawan jakartamenyala velodrome rawamangun jakarta timur sabtu  ayo keras menang pasang cagub cawagub nomor  pilkada daerah khusus jakarta  prakaruntukjakarta fifa bahrain wasit http,neutral
123,pasang prakar muluk cipta program nikmat masyarakat hasil rasa kalang tengah jakarta jakartamenyala prakaruntukjakarta http,positive
124,user gerak jakartamenyala ,negative
125,calon gubernur pramono anung acara ngopi bareng mas pram deloret cafe amp resto antasari jakarta selatan jumat  user jakartamenyala prakaruntukjakarta http,neutral
126,sapa dukung velodrome cagub cawagub jakarta nomor urut  pramonorano menang putar pilgub jakarta agenda kumpul rawan gelar tajuk town hall meeting jakarta nyala  rawan dukung jakartamenyala http,positive
127,sahabat anies titip harap mas pram bang doel pramdoelmenang jakartamenyala pilkadajakarta kagakribetdah pramonoanungranokarno http,positive
128,ancol bossss senggol jakartamenyala prakaruntukjakarta user user jakartamenyala prakaruntukjakarta  zize ahmed al kaf http,negative
129,orasi rano karno velodrome rawamangun jakarta timur calon wakil gubernur jakarta nomor urut  rano karno orasi hadap dukung kumpul indoor velodrome rawamangun jakarta timur sabtu  oktober  tvspartan jakartamenyala http,neutral
130,transisi perintah baik jokowi perintah prabowo jakartamenyala ahmed al kaf fifa sumuk muh sandra dewi war is over http,neutral
131,bang doel bang geiz temenan udah kalo udah mah kelar dah jakarta pramdoelmenang jakartamenyala pilkadajakarta kagakribetdah pramonoanungranokarno http,positive
132,data ppatk putar uang judol indonesia capai rp  t jakartamenyala ahmed al kaf fifa sumuk muh sandra dewi war is over http,neutral
133,dengar cah lontong pilih paslon no  jakarta prakaruntukjakarta mas pramono  bang rano jakartamenyala  arab nurul ahmed al kaf bahrain kevin diks bandung jabar here we go http,neutral
134,cagub mas pram cawagub bang rano silaturahmi warga rw  ancol barat gedung olahraga ancol barat jakut sabtu  serap aspirasi masyarakat kait isu lingkung warga jakartamenyala ahmed al kaf fifa sumuk muh sandra dewi war is over http,neutral
135,jakartamenyala mas pram tinjau kali sunter naturalisasi  bidang lahan antisipasi banjir cipinang melayu doa panjat kali mas pram blusukan moga pilih ya biar ibukota jakarta pramdoelmenang http,neutral
136,caci maki mimpiin jakarta lucu jejak digital rk kubur jalan dki  ejek hina warga jakarta jakartamenyala ahmed al kaf fifa sumuk muh sandra dewi war is over http,positive
137,calon gubernur pramono anung kawasan gang opas meruya selatan jakarta barat jakartamenyala pilkadajakarta pramdoelmenang pilkadajakarta http,neutral
138,jakarta nyala rawan pendekar bagi nasi kotak ribu masyarakat tanah nasi kotak bagi kemudi ojol sopir bajaj warga jakartamenyala prakaruntukjakarta http,neutral
139,pimpinnjajarta yakinsinyur beneran wawas lingkung mantan gubernur jabar tukang insinyur sinetron doel anak betawi mantan cawagub banten hehe user vs user jakartamenyala vs jakartabarujakartamaju,neutral
140, mas pram user amp bang user tanjak jakartamenyala prakaruntukjakarta ngik http,neutral
141,user user user user user user user user user user user udah  aja gass jakartamenyala,negative
142,mas pram bener panutan makna scr positif yg blio bener banget blio sll usaha jaga satu utama penting rakyat drpd popularitas jakarta butuh pimpin hebat mas pram bang doel u jakartamenyala http,positive
143,betawi banget si doel pake peci merah jakartamenyala kagakribetdah sidoelanakbetawi pramdoelmenang pramonoanungranokarno http,positive
144,komitmen mas prambang doel  dengar paham tindak ancol barat keren terimakasih diskusi mari wujud harap pramdoelmenang jgn lupa nomer  jakartamenyala http,neutral
145,mas pram bang doel senang temu langsung warga ancol barat lupa dukung prakaruntukjakarta suara kuat mas pram bang doel ubah aspirasirakyat jakartamenyala http,positive
146,giat silaturahmi gedung olahraga ancol barat momen harga mas pram bang doel gali solusi isuisu lingkung masprambangdoel lupa dukung coblos nomer  jakartamenyala http,neutral
147,riah  town hall meeting rawan jakarta nyala jakarta international velodrome rawangmangun jakartamenyala prakaruntukjakarta http,neutral
148,kemanakemana gratis iya  golong fasilitas gratis lansia pegang kartu pra sejahtera huni rusun sederhana program pro rakyat banget jakartamenyala prakaruntukjakarta  kevin diks bandung jabar here we go http,neutral
149,mas pram bang doel silaturahmi warga rw  ancol barat mas pram bang doel dengar aspirasi harap masyarakat aspirasirakyat jakartamenyala pramdoelmenang http,positive
150,arti nomor  mas pram yg nomer urut  kontestasi pilkada jakarta  jakartamenyala prakaruntukjakarta http,neutral
151,bukti dukung rawan jakarta nyala pram amp bang doel velodrome rawamangun jaktim siang orasi mas pram terima kasih dukung rawan gotong royong amp keras menang jakartamenyala http,positive
152,ridwan kamil nada nya tenor lur met sore lur semangat dukung gak ribet mas pram ama bang doel jakartamenyala http,positive
153,pagi mas pram amp bang doel silaturahmi warga rw  ancol barat gedung olahraga ancol jakbar temu pasang mas pram amp bang doel serap aspirasi masyarakat kait isu lingkung warga jakartamenyala http,positive
154,gilaak bang doel keren banget  orasi kampanye velodrome rawamangun si doel jakarta maju pimpin pramono rano  jakartamenyala http,positive
155,mas pram terima ketua mui jakarta kh muhammad faiz syukron makmun sekretaris mui jakarta kh auzai mahfudz urus mui jakarta jakartamenyala http,negative
156,mas pram salam imam masjid nabawi madinah syekh ahmad bin ali alhudzaifi tengah duta saudi arabia indonesia he mr faisal bin abdullah h amodi samping syekh alhudzaifi imam masjid istiqlal kh nasarudin umar jakartamenyala http,positive
157,populer mas user pimpin sikap adil agama berat belah minggir wiirr jakartamenyala prakaruntukjakarta http,positive
158,user user mas pram bang doel adil kpd agama golong jakartamenyala,neutral
159,mas pram amp bang doel silaturahmi serap aspirasi lingkunga warga rw  ancol barat gedung olahraga ancol barat jakarta utara sabtu  jakartamenyala prakaruntukjakarta http,neutral
160,mas user main main politik agama pecah ajak lomba ngaji paslon cagubcawagub beliau main politik agama  jakartamenyala prakaruntukjakarta http,neutral
161,cagub pramono anung menegaskn pimpin agama bentuk tekan pentingny toleransi agama jakartamenyala prakaruntukjakarta qatar nurul arab ahmed al kaf http,positive
162,mas user  pimpin adil agama golong maktub buka uud nih simak tentu pilih jakartamenyala prakaruntukjakarta http,positive
163,mas pram rano karno silaturahmi warga rw  ancol barat gedung olahraga ancol barat temu pasang mas pram amp bang doel serap aspirasi masyarakat kait isu lingkung warga jakartamenyala prakaruntukjakarta http,neutral
164,pasang rano karno no  cagub pramono anung terang pilih gubernur jakarta dana pondok pesantren jakartamenyala http,neutral
165,alas mas pram bang doel pimpin jakarta jakartamenyala http,positive
166,mas pram bang doel sedia transportasi publik gratis  golong masyarakat lansia terima kartu pra sejahtera huni rusunawa dll mas pram bang doel jakartamenyala prakaruntukjakarta http,neutral
167,user nyala abang awak kendor jakartamenyala ,negative
168,mas pram terima ketua mui jakarta kh muhammad faiz syukron makmun sekretaris mui jakarta kh auzai mahfudz urus mui jakarta jakartamenyala pramdoelmenang kagakpakeribetdah http,negative
169,user toleransi umat agama golong prakaruntukjakarta jakartamenyala,negative
170,user user user user user user user user user user mas pramono anung bang rano karno pas pimpin jakarta pasti pas ya nomer  pasti bikin jakartamenyala ,negative
171,user user user dukung jakartamenyala ,negative
172,pimpin adil agama gubernur sbg pimpin laku adil kpd umat agama jaga toleransi rukun mas pram bang doel tekat jaga saudara rukun umat agama jakartamenyala prakaruntukjakarta http,positive
173,user user user user user user user user user dengar bijak tahu masalah peta analisanya eksekusi bijak hasil manfaat rakyat pilih aja nomer  bikin jakartamenyala,negative
174,cagub mas pram terima ketua mui jakarta kh muhammad faiz syukron makmun sekretaris mui jakarta kh auzai mahfudz urus mui jakarta jakartamenyala http,negative
175,tani cak lontong mas pram bang doel serap aspirasi warga rw  ancol barat gedung olahraga ancol barat jakarta utara sabtu  gw kalo jual borong deh mas pram bang doel solutif jakartamenyala prakaruntukjakarta http,neutral
176,pramono anung jaga golong minoritas jakarta pimpin yg adil agama   jakartamenyala prakaruntukjakarta http,positive
177,calon gubernur pramono anung amp calon wakil gubernur rano karno temu warga sunter balai warga komplek sunter papanggo jakarta utara sabtu  jakartamenyala prakaruntukjakarta http,positive
178,pram hadir temu komunitas gerakn mahasiswa kristen indonesia gmki medan yayasan komunikasi indonesia diskus bahas jakarta  hadir anggota senior gmki medan sejabodetabek jakartamenyala prakaruntukjakarta fifa ahmed al kaf http,neutral
179,deklarasi keluarga itb dukung juang menang mas pram itb rumah keluarga mas pram jakartamenyala http,neutral
180,panel survei indonesia psi pramono anung  ranao karni unggul ridwan kamil  suswono dharma  kun jakartamenyala pramdoelmenang kagakpakeribetdah http,positive
181, yg gubernur wajib hukum jaga buka preambule uud  yg anut tara agama republik mantap mas pram moga pilih jalan dgn sebaikbaiknya jakartamenyala prakaruntukjakarta http,positive
182,mas pram user kunjung kawasan cipinang melayu jaktim tinjau kondisi kali sunter kawasan tsb tinjau sebab masalah banjir yg kerap landa kawasan mas pram silaturahmi dialog dg warga prakaruntukjakarta jakartamenyala http,neutral
183,mas pram terima ketua mui jakarta kh muhammad faiz syukron makmun sekretaris mui jakarta kh auzai mahfudz urus mui jakarta jakartamenyala pramdoelmenang kagakpakeribetdah http,negative
184,mas pram salam dg imam masjid nabawi madinah syekh ahmad bin ali alhudzaifi tengah duta saudi arabia unt indonesia he mr faisal bin abdullah h amodi samping syekh alhudzaifi imam masjid istiqlal kh nasarudin umar jakartamenyala http,positive
185,cagub pramono anung kunci sukses keras dengar yg orang butuh ubah jakartamenyala http,positive
186,user user pilih nomer mas pram bang doel jakartamenyala,negative
187,mas pram salam dg imam masjid nabawi madinah syekh ahmad bin ali alhudzaifi tengah duta saudi arabia unt indonesia he mr faisal bin abdullah h amodi samping syekh alhudzaifi imam masjid istiqlal kh nasarudin umar jakartamenyala pramdoelmenang http,positive
188,user mas pram bang doel adil agama jakartamenyala,positive
189,mas pram real sosok toleran sejati beliau sholat jumat masjid istiqlal jalan lewat terowongan silaturahmi temu uskup kardinal gereja katedral jakarta jakartamenyala prakaruntukjakarta http,positive
190,user mas pramono bang rano utk jakartamenyala,neutral
191,salam syekh ahmad hormat jakartamenyala pramono salat jumat imam masjid nabawi istiqlal http,neutral
192,pramono anung sapa warga kawasan tangki taman sari jakarta barat program dengar aspirasi masyarakat jakartamenyala pramdoelmenang kagakpakeribetdah http,neutral
193,user mas pram bang doel pimpin jakartamenyala,positive
194,program salah solusi atas macet yg tahun jakarta ya mas pram  bang doel brilian ide gak muluk kena gitu lho masyarakat jakartamenyala prakaruntukjakarta http,negative
